time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-03-24T18:46:05.000Z,42.618,-122.4006667,4.504,2.58,ml,21,66,0.3393,0.28,uw,uw60512451,2016-07-22T19:08:05.720Z,"15 km ENE of Butte Falls, Oregon",earthquake,0.41,1.62,0.166,30,reviewed,uw,uw
2013-03-24T12:28:54.440Z,42.6138333,-122.4015,7.854,2.54,ml,20,67,0.3423,0.25,uw,uw60512386,2016-07-22T19:08:04.640Z,"15 km ENE of Butte Falls, Oregon",earthquake,0.41,22.25,0.195,30,reviewed,uw,uw
2013-03-24T11:39:04.590Z,42.612,-122.4101667,14.394,3.1,ml,26,37,0.34,0.2,uw,uw60512366,2016-07-22T19:08:03.570Z,"14 km ENE of Butte Falls, Oregon",earthquake,0.33,0.98,0.182,41,reviewed,uw,uw
2013-03-24T08:00:11.180Z,42.6213333,-122.4033333,8.154,2.62,ml,23,40,0.3355,0.27,uw,uw60512326,2016-07-22T19:08:01.470Z,"15 km ENE of Butte Falls, Oregon",earthquake,0.37,18.46,0.181,31,reviewed,uw,uw
2013-01-25T08:58:33.900Z,44.4655,-124.6073333,39.482,2.88,ml,15,234,0.4314,0.43,uw,uw60497382,2016-07-22T19:06:22.960Z,"43 km W of Waldport, Oregon",earthquake,2.54,1.08,0.147,25,reviewed,uw,uw
2013-01-25T04:27:42.340Z,44.4571667,-124.6863333,34.945,2.76,ml,17,240,0.4872,0.28,uw,uw60497357,2016-07-22T19:06:22.660Z,"49 km WNW of Yachats, Oregon",earthquake,1.75,1.14,0.167,18,reviewed,uw,uw
2013-01-25T03:43:05.200Z,44.476,-124.867,6.2,3,md,20,206.8,,,us,us2013kvae,2022-08-06T13:30:07.316Z,"63 km WNW of Yachats, Oregon",earthquake,,,,,reviewed,sea,sea
2013-01-25T00:41:11.590Z,44.457,-124.669,33.8,3,ml,13,248,,,us,usp000jyt9,2016-07-22T19:06:21.470Z,"47 km WNW of Yachats, Oregon",earthquake,,,,,reviewed,sea,sea
2012-12-24T00:25:25.220Z,45.6446667,-122.767,19.49,2.76,ml,22,66,0.04642,0.09,uw,uw60485347,2022-08-06T12:55:52.618Z,"6 km NW of North Portland, Oregon",earthquake,0.23,0.36,0.174,68,reviewed,uw,uw
2012-11-29T19:35:36.870Z,44.0563333,-121.2733333,-1.338,2.66,md,11,172,0.04062,0.21,uw,uw60490146,2016-07-22T19:04:27.690Z,"3 km E of Bend, Oregon",explosion,0.75,31.61,0.48,8,reviewed,uw,uw
2012-11-28T23:01:25.010Z,44.0433333,-121.2476667,-1.338,2.51,md,14,123,0.06233,0.49,uw,uw60489911,2016-07-22T19:04:26.680Z,"5 km ESE of Bend, Oregon",explosion,1.77,31.61,0.586,9,reviewed,uw,uw
2012-11-19T22:51:46.190Z,43.7941667,-121.6835,-1.188,2.56,ml,10,124,0.2296,0.26,uw,uw60488391,2022-07-24T12:39:42.422Z,"17 km W of Three Rivers, Oregon",earthquake,0.88,0.51,0.342,9,reviewed,uw,uw
2012-11-19T14:15:09.470Z,45.6458333,-122.7531667,19.797,3.16,ml,44,43,0.04614,0.17,uw,uw60476177,2022-08-06T12:31:46.543Z,"5 km NW of North Portland, Oregon",earthquake,0.22,0.36,0.189,91,reviewed,uw,uw
2012-11-08T09:58:28.070Z,45.0258333,-124.1515,38.048,2.78,ml,12,209,0.3666,0.23,uw,uw60472587,2016-07-22T19:03:00.730Z,"near the coast of Oregon",earthquake,0.87,0.97,0.179,20,reviewed,uw,uw
2012-11-03T23:54:43.550Z,45.0253333,-124.1511667,39.558,2.89,ml,23,199,0.3668,0.28,uw,uw60484031,2016-07-22T19:02:53.460Z,"12 km NW of Lincoln City, Oregon",earthquake,1.07,0.66,0.248,33,reviewed,uw,uw
2012-10-10T23:09:29.380Z,44.092,-121.3346667,-1.465,2.55,md,14,86,0.02574,0.41,uw,uw60462612,2016-07-22T19:01:52.630Z,"4 km NNW of Bend, Oregon",explosion,1.04,31.61,0.214,9,reviewed,uw,uw
2012-09-22T20:15:31.650Z,43.3633333,-124.383,27.813,2.5,ml,17,237,0.3868,0.16,uw,uw60455007,2016-07-22T19:01:07.420Z,"5 km W of Barview, Oregon",earthquake,1.26,0.61,0.237,13,reviewed,uw,uw
2012-09-08T04:57:45.180Z,45.1205,-122.6896667,23.81,3.54,ml,39,45,0.1721,0.26,uw,uw60449207,2022-08-06T11:43:15.411Z,"8 km N of Scotts Mills, Oregon",earthquake,0.33,0.9,0.2,149,reviewed,uw,uw
2012-05-17T19:51:15.830Z,44.318,-124.4698333,0.165,2.53,ml,14,264,0.4307,0.36,uw,uw60418886,2016-07-22T18:56:05.540Z,"29 km W of Yachats, Oregon",earthquake,3.14,1.47,0.055,12,reviewed,uw,uw
2012-04-18T15:20:59.200Z,44.604,-124.4436667,16.615,2.88,ml,22,220,0.2846,0.34,uw,uw60410241,2022-07-23T21:50:36.656Z,"31 km W of Newport, Oregon",earthquake,1.27,1.63,0.257,27,reviewed,uw,uw
2012-04-13T20:23:59.260Z,45.694,-122.344,2.8,2.8,md,15,94.5,,,us,usp000jhwd,2014-11-07T01:47:31.007Z,"7 km NNE of Fern Prairie, Washington",earthquake,,,,,reviewed,sea,sea
2012-04-08T17:16:27.980Z,45.1853333,-121.7085,4.508,2.66,ml,16,70,0.1197,0.17,uw,uw60407506,2022-07-23T21:14:18.994Z,"7 km S of Wapanitia, Oregon",earthquake,0.36,1.19,0.247,47,reviewed,uw,uw
2012-03-20T09:28:37.350Z,44.3833333,-124.4563333,32.93,3.7,ml,16,228,0.3795,0.23,uw,uw60403916,2022-08-06T09:32:28.411Z,"29 km WNW of Yachats, Oregon",earthquake,0.81,1.07,0.18,82,reviewed,uw,uw
2012-03-20T08:43:47.350Z,44.3613333,-124.4386667,29.19,3.17,ml,14,247,0.3845,0.22,uw,uw60403911,2022-08-06T09:33:19.674Z,"27 km WNW of Yachats, Oregon",earthquake,0.99,0.64,0.139,15,reviewed,uw,uw
2012-03-12T11:37:21.950Z,44.3558333,-124.4455,25.76,3.12,ml,20,230,0.3918,0.29,uw,uw60386742,2022-08-06T09:26:28.982Z,"27 km W of Yachats, Oregon",earthquake,1.29,0.75,0.1,16,reviewed,uw,uw
2012-02-26T10:15:11.690Z,42.8158333,-124.7626667,21.643,3.12,ml,14,241,0.3201,0.29,uw,uw60382617,2022-08-06T09:16:08.086Z,"23 km WNW of Port Orford, Oregon",earthquake,1.31,0.98,0.198,7,reviewed,uw,uw
2011-12-08T21:34:32.980Z,43.6275,-121.3613333,-1.539,2.5,md,13,183,0.04543,0.56,uw,uw10830993,2016-07-22T18:05:35.510Z,"12 km ESE of La Pine, Oregon",explosion,0.389,0.43,0.09,6,reviewed,uw,uw
2011-09-16T17:21:17.680Z,45.7936667,-122.6233333,15.122,2.7,md,46,43,,0.19,uw,uw10828298,2016-09-01T18:43:26.473Z,"2 km NW of Dollar Corner, Washington",earthquake,0.256,0.71,0.03,14,reviewed,uw,uw
2011-08-22T18:04:01.840Z,44.8016667,-121.3235,-1.095,2.6,md,11,112,0.2986,0.19,uw,uw10824913,2016-07-22T17:54:16.100Z,"6 km NW of Warm Springs, Oregon",explosion,0.117,0.07,0.07,3,reviewed,uw,uw
2011-08-06T00:05:20.160Z,42.6163333,-122.4006667,7.158,2.8,md,27,44,,0.32,uw,uw10820338,2016-07-22T17:53:14.420Z,"15 km ENE of Butte Falls, Oregon",earthquake,0.44,1.43,0.05,15,reviewed,uw,uw
2011-08-05T23:39:57.430Z,42.622,-122.4088333,12.419,2.5,md,28,47,,0.25,uw,uw10820323,2016-07-22T17:53:11.850Z,"15 km NE of Butte Falls, Oregon",earthquake,0.184,0.27,0.04,11,reviewed,uw,uw
2011-08-05T17:59:02.440Z,42.6156667,-122.398,14.964,2.6,md,25,64,,0.34,uw,uw10820258,2016-07-22T17:53:09.480Z,"15 km ENE of Butte Falls, Oregon",earthquake,0.316,0.27,0.06,7,reviewed,uw,uw
